0,19,0.1632408503336788
8,29,0.16469287878463706
12,33,0.15488341946324174
16,37,0.1275309012472689
18,39,0.14080521510578853
20,41,0.15095418622601303
22,45,0.1577410387467197
26,47,0.1643312540680541
28,49,0.16705593817835934
32,53,0.17989429396028095
34,57,0.16817041880543554
38,60,0.1951810117035217
46,69,0.2524343146334224
99,109,0.9509512775814208
125,135,0.8346484879128115
175,200,0.28433796926463323
176,206,0.3065523537017522
198,213,0.3060689587576902
204,233,0.4303205585896599
234,244,0.3693179492412723
242,252,0.38212871767092865
252,262,0.4119169731730345
271,287,0.2639436112772217
276,291,0.22229972472459386
279,296,0.17459082834072864
283,302,0.21076822066204842
290,309,0.24791106975440974
315,326,0.31891968848063684
