,vel_0x_L,vel_0y_L,vel_0x_R,vel_0y_R,posFromWrist_1x_L,posFromWrist_2x_L,posFromWrist_3x_L,posFromWrist_4x_L,posFromWrist_5x_L,posFromWrist_6x_L,posFromWrist_7x_L,posFromWrist_8x_L,posFromWrist_9x_L,posFromWrist_10x_L,posFromWrist_11x_L,posFromWrist_12x_L,posFromWrist_13x_L,posFromWrist_14x_L,posFromWrist_15x_L,posFromWrist_16x_L,posFromWrist_17x_L,posFromWrist_18x_L,posFromWrist_19x_L,posFromWrist_20x_L,posFromWrist_1y_L,posFromWrist_2y_L,posFromWrist_3y_L,posFromWrist_4y_L,posFromWrist_5y_L,posFromWrist_6y_L,posFromWrist_7y_L,posFromWrist_8y_L,posFromWrist_9y_L,posFromWrist_10y_L,posFromWrist_11y_L,posFromWrist_12y_L,posFromWrist_13y_L,posFromWrist_14y_L,posFromWrist_15y_L,posFromWrist_16y_L,posFromWrist_17y_L,posFromWrist_18y_L,posFromWrist_19y_L,posFromWrist_20y_L,posFromWrist_1x_R,posFromWrist_2x_R,posFromWrist_3x_R,posFromWrist_4x_R,posFromWrist_5x_R,posFromWrist_6x_R,posFromWrist_7x_R,posFromWrist_8x_R,posFromWrist_9x_R,posFromWrist_10x_R,posFromWrist_11x_R,posFromWrist_12x_R,posFromWrist_13x_R,posFromWrist_14x_R,posFromWrist_15x_R,posFromWrist_16x_R,posFromWrist_17x_R,posFromWrist_18x_R,posFromWrist_19x_R,posFromWrist_20x_R,posFromWrist_1y_R,posFromWrist_2y_R,posFromWrist_3y_R,posFromWrist_4y_R,posFromWrist_5y_R,posFromWrist_6y_R,posFromWrist_7y_R,posFromWrist_8y_R,posFromWrist_9y_R,posFromWrist_10y_R,posFromWrist_11y_R,posFromWrist_12y_R,posFromWrist_13y_R,posFromWrist_14y_R,posFromWrist_15y_R,posFromWrist_16y_R,posFromWrist_17y_R,posFromWrist_18y_R,posFromWrist_19y_R,posFromWrist_20y_R,posFromBody_0x_L,posFromBody_0y_L,posFromBody_0x_R,posFromBody_0y_R
2,-20.992699,6.921789,-4.880505,-2.533496,27.629986,49.091263,67.685051,82.018433,51.223068,81.848602,93.420296,101.701584,36.106567,64.503479,78.571587,86.130981,17.673683,33.714123,41.157761,44.829826,-1.310291,-6.97998,-13.871269,-19.753189,-11.992795,-10.978482,-6.522449,-4.871552,27.34759,40.624238,49.717171,57.863224,46.04296,67.467327,77.277368,82.563635,55.618967,80.783124,96.817359,107.901558,56.658288,82.410247,97.414301,111.15457,28.674145,56.053333,76.444302,91.25124,68.337765,100.036869,108.098202,108.374805,55.988789,90.911121,99.878712,100.881672,40.643291,73.140736,84.863834,88.927174,24.233665,50.835171,62.695827,68.200779,-17.055464,-18.326164,-14.790767,-13.819248,8.911819,37.771554,50.980029,56.094321,27.947742,58.371923,69.09587,70.539657,44.503954,72.174684,81.458179,82.555052,56.988961,81.467998,89.030941,89.102942,-50.342531,350.369507,-62.414618,355.117187
3,15.220013,4.414784,0.956097,-1.504549,-23.776531,-25.963783,-23.881702,-26.317577,-10.850544,-7.4786,-15.938644,-22.656841,6.88448,21.808033,19.981842,18.848362,24.346104,44.715214,41.093731,36.785946,38.020306,58.550549,61.764622,62.590542,28.889374,61.440425,88.430357,102.589417,53.17822,81.423352,94.574337,104.140032,42.26087,71.575458,87.941787,97.537308,31.023901,59.071494,73.038634,81.577543,21.157173,42.766051,56.971054,66.337665,28.372135,54.65538,74.470024,89.68174,66.536636,97.730942,107.99366,110.388222,55.106277,88.040428,98.864822,101.266594,40.383167,70.730209,83.650932,89.166756,24.572811,48.188725,59.496689,64.92588,-15.750986,-16.289388,-12.732256,-11.782102,11.098587,36.302944,49.368528,55.992186,29.835761,56.846812,68.348135,71.773368,45.716918,72.177093,81.595389,84.09449,57.001497,81.712653,88.705887,89.305792,-36.786547,357.378117,-63.122549,356.206464
4,-11.891441,-1.186225,0.863113,0.551555,25.310898,45.302868,61.948757,76.254215,46.611729,75.682926,87.347202,97.106037,31.297932,59.204006,71.290913,77.058735,13.247452,31.922436,39.954014,42.692585,-4.168224,-7.329483,-12.991219,-17.928371,-11.310267,-7.571218,-4.318577,-5.249464,26.578798,39.97382,48.558424,55.750618,42.204369,64.938771,75.39219,80.822829,49.546555,76.56341,91.188439,100.281743,50.251065,76.557049,91.211595,104.772912,28.849583,54.710312,74.210014,88.584137,65.749626,95.50415,106.53717,110.18177,54.159508,85.299454,96.177292,98.722229,39.368763,67.68425,80.205917,85.569077,23.314304,45.771847,56.466408,61.976852,-16.717689,-18.474797,-14.790891,-13.004699,11.631555,35.13407,48.467898,56.00892,30.589919,56.285809,67.745389,72.228284,45.956694,71.499258,81.228221,84.824812,56.675084,80.612199,88.128891,89.877416,-49.519186,357.577462,-63.100634,358.14359
5,12.697048,-2.239873,1.598854,0.972939,-16.742992,-15.983047,-14.213219,-19.04829,1.086388,19.650764,20.264397,19.997635,11.900368,34.750099,35.34977,34.021797,22.089157,43.71666,37.664108,31.00399,29.450111,47.635803,49.63623,48.663025,35.402067,70.110862,98.212487,115.469442,54.565999,80.334384,88.72503,95.771246,43.372007,70.887373,84.143211,95.069823,32.752604,60.454024,74.011142,84.683342,24.019737,46.149788,60.096365,70.325445,28.382664,53.562698,72.802391,86.977844,63.972702,93.085442,103.881226,107.389641,52.58194,83.355904,93.930588,96.380196,37.980995,65.94223,77.999611,83.300171,22.017117,44.151134,54.430389,60.063972,-16.605427,-18.879941,-15.877575,-14.746184,11.298535,34.90652,48.391698,55.903389,29.614263,55.045305,67.211371,72.266322,44.632086,69.702877,79.758499,83.811302,55.47904,78.557392,86.039751,88.146799,-37.397261,356.395343,-62.076902,360.174283
6,0.30899,0.851168,1.168785,0.981338,-13.722553,-13.188343,-12.829456,-19.366436,1.465302,22.115707,20.654182,18.243427,11.596985,38.682289,38.273964,35.370827,21.758137,48.241196,43.385468,36.540642,29.390144,50.433769,52.930298,52.256126,38.099263,72.994174,100.291252,116.906436,53.867725,77.325348,85.448368,91.805634,41.205432,66.83704,79.192186,89.682223,29.411412,55.479411,68.005543,77.623664,19.826575,41.400749,55.76513,65.28235,27.885246,52.594757,71.446152,85.727348,62.685928,91.978683,102.975197,106.649208,50.949783,82.054138,92.746925,95.009766,36.081848,64.456444,76.826019,82.167892,20.258617,42.124214,52.659874,58.65097,-17.020266,-19.368634,-16.88071,-15.883811,10.131267,33.778278,47.496873,55.04407,28.383886,54.267868,66.296786,70.934489,43.499954,68.89796,78.464828,81.950022,54.323196,77.707953,85.362658,87.544238,-37.703962,357.634767,-61.523809,361.543877
7,1.718845,1.54728,1.989326,0.268985,-12.879009,-13.277206,-13.251972,-20.004158,-0.676289,19.831867,17.810383,14.859352,9.680214,36.555119,35.916653,32.263355,20.379581,46.399441,41.355114,34.058247,28.636951,49.684353,52.310886,51.831493,37.807245,72.592735,99.076066,115.190948,52.178357,75.174087,83.597708,89.808996,39.107524,64.572591,77.26088,87.942405,27.126524,53.094239,65.978463,75.658087,17.448567,39.458452,53.458381,61.988089,26.713943,50.760956,69.313431,83.659401,61.560745,90.723267,101.295433,104.592133,49.797249,80.477486,90.963135,93.286057,34.734364,62.595634,74.856949,80.42347,18.712635,39.934273,50.270004,56.241646,-17.069111,-19.560925,-17.668707,-17.446838,10.335228,34.326313,47.984763,55.219565,28.329978,54.448673,66.46839,70.89571,43.21689,68.919758,78.637853,82.082106,53.800417,77.429027,85.392298,87.657859,-36.440763,359.365523,-59.990129,361.996337
8,-13.114929,-0.417186,0.799541,0.434229,25.455265,45.372677,62.569485,78.389912,48.689404,77.672138,88.088093,95.671749,32.704754,62.077618,74.318447,79.456272,13.786011,30.337486,36.392841,36.443195,-5.169868,-7.991238,-13.095875,-19.990482,-12.245415,-9.960588,-5.966572,-7.005399,23.658188,37.767293,47.324342,53.852287,41.751306,64.818852,74.364663,78.22147,52.029106,79.400594,96.273215,106.653336,54.048345,81.182773,96.387453,108.791258,26.133442,49.823856,68.258801,82.80756,60.535412,90.068951,100.790234,104.134083,48.820896,79.880047,90.6954,93.035488,33.765678,62.227535,74.798183,80.397549,17.81147,39.446182,50.204372,56.457424,-17.196563,-19.876284,-18.116459,-17.951339,9.872656,34.320755,47.936166,54.870552,27.586688,54.609965,66.81691,70.986421,42.407651,68.752476,78.506016,81.768352,52.994698,77.01567,85.122819,87.371893,-49.75173,359.140597,-59.386625,362.622826
9,10.874462,-0.638129,0.227509,0.37569,-11.62508,-11.283588,-11.54068,-17.499104,3.810482,25.738564,26.705246,25.856667,12.480583,37.864037,37.321587,33.80127,21.110859,44.232445,38.171768,30.666847,26.943054,46.553764,48.697815,47.8022,37.038576,71.851421,98.461402,115.077944,52.214666,75.525138,83.293402,88.997658,40.121589,65.842488,79.675322,91.327563,28.789339,55.24161,69.720661,81.306026,19.715363,41.920008,56.25092,65.634389,26.17178,50.259876,68.849888,83.378735,60.515957,90.125027,100.852947,103.885975,48.55711,79.628735,90.622387,92.981243,33.157368,61.643429,74.505444,80.250492,16.890507,38.271961,49.478245,56.309338,-17.455236,-20.134092,-18.301464,-18.429102,9.437068,34.061095,47.610247,54.574952,27.302512,54.38754,66.187673,70.265053,42.075434,68.365116,77.971504,81.430145,52.432398,76.287694,84.544959,87.127855,-38.987074,358.636173,-59.268923,363.132221
10,1.799698,0.863518,-0.19352,-0.219337,-19.291649,-19.554119,-17.539444,-22.429562,-6.228848,9.259014,4.794502,0.726986,8.71748,35.531273,36.803741,34.972343,23.224869,50.866585,48.290749,42.988815,34.477158,57.815781,63.233528,64.614258,34.839829,67.990662,94.948174,111.122336,51.51596,75.419236,87.020471,96.180898,38.834278,65.216154,78.917459,90.969781,27.035442,53.015816,66.160935,77.413713,17.64975,38.275128,51.62637,62.876863,26.028214,50.151501,68.585987,82.899113,60.804577,90.317173,100.924129,103.800602,48.824902,79.860935,90.985966,93.435345,33.432655,61.93388,75.002003,80.901318,17.229366,38.854923,50.039234,56.664333,-17.349087,-19.75476,-17.748736,-18.161043,9.765642,34.42604,47.732636,54.498938,27.633309,54.490848,66.068371,69.966922,42.447912,68.50708,78.023869,81.477322,52.835135,76.440464,84.509514,87.051285,-37.184229,359.539211,-59.459295,362.952403
11,-13.018913,1.728209,-0.180645,0.211866,24.478168,44.721336,61.287575,77.286186,46.203003,76.386108,87.909851,97.430992,31.294498,60.947456,76.401329,85.67585,14.487419,34.028893,45.174294,51.679001,-2.346668,-0.089436,-1.135883,-3.353004,-13.865993,-11.684351,-8.178225,-9.619726,19.824785,32.654482,42.206962,51.40907,38.625315,58.88581,67.926565,73.186033,50.292191,73.347448,87.167314,96.256048,54.662329,78.806493,92.786231,105.113466,26.022091,50.067215,68.800049,83.35453,60.347672,89.720192,100.688438,104.226494,48.689232,79.577408,90.57621,92.985306,33.540745,61.661682,74.595909,80.503807,17.434444,38.449745,49.349556,55.996056,-17.078991,-19.753154,-17.732248,-18.146532,9.244716,32.76588,46.554932,54.082246,27.161227,53.704333,65.94734,70.386701,41.969347,67.834804,77.767913,81.459106,52.289323,75.751762,84.286719,87.25395,-50.206976,361.355769,-59.643774,363.252618
12,12.229328,-1.352952,0.776482,-0.427992,-18.552246,-18.879776,-16.509762,-21.059132,-3.156109,11.076164,5.621567,0.275116,10.760765,32.665615,31.72308,28.581333,23.758221,46.824589,40.677395,32.16116,33.765736,51.920872,53.959408,51.882992,33.162688,65.479396,92.308777,107.775835,51.537388,76.965466,88.874342,98.006302,41.535859,69.103651,83.062393,94.036183,31.1939,59.310097,73.451251,84.920155,22.759349,44.974863,59.076063,70.414736,26.183681,49.997406,68.232651,82.389565,60.424004,89.626694,100.587616,103.991661,48.348083,79.058189,90.031815,92.586021,32.917213,60.78392,73.772964,79.738655,16.721821,37.626972,48.630066,55.467796,-17.056761,-19.377403,-17.263316,-17.375948,9.393905,33.094578,47.014849,54.478251,27.550873,54.42564,66.700263,70.956102,42.426423,68.639658,78.453651,81.78947,52.536139,76.303687,84.929973,87.857683,-37.959423,360.079033,-58.849068,362.900842
13,-14.151707,-0.835421,-0.100765,1.487876,21.299057,40.364685,57.408943,69.98394,44.790344,71.232147,83.674736,94.599838,34.349384,59.687691,72.354126,80.293236,21.097813,40.498466,51.639977,58.06675,6.556664,7.967663,8.2267,7.953358,-4.100536,3.481488,11.266054,14.171102,29.519846,46.708197,54.274722,61.154891,40.406444,64.014491,74.799324,80.358281,45.202969,71.134128,83.328846,91.373567,44.705261,69.136379,82.5109,96.271115,25.75613,50.271091,69.145603,83.940296,59.338245,90.223103,101.207943,103.983479,47.324009,79.312534,90.925426,93.118801,32.340088,61.25948,74.60638,80.447674,16.739216,38.065395,49.446201,56.770191,-17.96233,-21.158408,-19.154052,-18.484121,7.906152,31.317277,45.093177,52.489826,26.369834,53.70069,65.403443,68.77625,41.382471,68.062169,77.433782,80.236509,51.724739,75.909226,84.492903,86.965946,-52.136135,359.274317,-58.974838,364.419423
14,13.54414,1.455025,-0.546799,-0.26034,-18.188381,-17.621212,-16.011658,-21.002941,-1.874027,15.554581,10.966244,6.390324,10.765457,36.051464,35.496082,33.044643,23.403568,50.248318,45.548458,38.825855,34.00938,55.642719,58.458309,57.608356,34.687429,68.092426,95.557836,111.282764,51.930059,76.77299,87.215788,94.955893,40.401442,67.422434,80.718595,89.644802,28.783658,56.025099,67.986401,75.711563,19.158436,40.563784,54.302818,63.763969,25.926991,50.444126,69.279499,84.120083,60.342693,91.438236,102.240772,104.498234,48.282681,80.763645,92.26656,94.268932,33.009911,62.445774,75.831585,81.670132,17.05616,39.048615,50.568638,57.834606,-17.91398,-20.74783,-18.400203,-16.877561,8.252016,32.374135,46.105945,53.108071,26.662902,54.155976,65.827606,69.241046,41.856714,68.87042,78.177195,80.823756,52.413873,76.89186,85.18951,87.141564,-38.592024,360.685901,-59.521666,364.115642
15,-12.560291,-0.396993,-0.320034,0.193835,24.737091,44.746056,61.283112,75.670395,48.059692,76.981087,88.95092,99.11499,33.995647,61.219368,74.751549,82.204628,16.655731,34.930344,44.904671,49.572372,-1.506329,-2.922249,-6.15366,-9.751797,-11.631616,-7.944005,-2.964946,-2.7206,22.795844,34.98025,43.741892,51.369056,40.046192,61.287716,70.612584,75.357733,50.490348,75.662101,89.288008,97.436099,53.973936,80.288256,94.972381,107.64443,25.564671,50.365906,69.693031,84.791794,60.559731,91.474228,102.374153,105.005836,48.95359,81.175346,92.503395,94.469147,33.938713,63.000984,76.039238,81.754646,17.994862,39.995785,51.432037,58.566055,-18.211185,-21.232076,-18.958673,-18.261449,7.855702,31.434171,45.359691,52.90837,26.387557,53.39095,65.435491,69.33997,41.708081,68.259029,77.844731,80.898844,52.615488,76.663383,84.769669,86.669358,-51.177149,360.265952,-59.866533,364.286521
16,10.503445,-0.761012,0.20628,-0.002161,-7.119083,-3.056831,-1.037464,-3.869305,9.826756,29.042187,28.728275,27.204494,14.586182,32.209682,28.709049,24.597073,18.604774,34.548626,23.720627,13.616982,20.630264,32.423916,28.150692,22.450161,33.551098,64.434085,90.628671,105.331939,53.84179,77.031601,84.47549,90.685976,46.433099,73.065928,87.762341,97.489204,37.185542,65.832238,80.301903,91.567648,29.113343,50.131022,63.762858,75.399847,25.26432,50.309086,69.708538,84.696522,60.456676,92.179813,102.67931,104.465389,48.715496,81.468716,92.895412,94.792728,33.626518,63.042011,76.267376,82.096424,17.765522,39.842663,51.258488,58.348675,-17.901877,-20.605989,-18.32672,-17.527854,8.426585,32.433292,45.921003,52.764801,26.916325,53.537792,64.843367,68.156461,42.229748,68.46651,77.601743,80.273251,52.87941,77.087979,85.222793,87.074194,-40.739622,359.529609,-59.726171,364.309029
17,-11.302986,-0.447196,-0.526428,0.342159,2.109032,14.599113,27.225208,37.462292,25.411835,48.845158,59.682484,67.736835,28.552437,53.717251,68.063793,76.640797,29.806709,50.631351,62.249393,68.112888,28.459339,36.277599,42.070484,45.172291,15.338679,33.912091,50.185239,58.98634,49.168086,69.296992,76.499807,81.618113,44.239415,67.635226,78.952842,84.273257,35.809805,59.382345,70.849273,79.905218,25.328228,44.15809,54.394765,66.700819,25.297623,50.078602,69.378605,84.57922,60.539074,91.71278,102.637882,105.195179,48.886585,81.5835,93.053913,95.127697,33.819695,63.462009,76.602459,82.361469,17.851868,40.148449,51.583958,58.527546,-18.237367,-21.1066,-18.928169,-18.49536,8.307036,32.287438,45.912728,53.087941,26.620479,53.403547,65.071102,68.951251,41.830532,68.063033,77.320778,80.391071,52.549971,76.635472,84.569597,86.402597,-52.084007,359.063501,-60.293999,364.632277
