,vel_0x_L,vel_0y_L,vel_0x_R,vel_0y_R,posFromWrist_1x_L,posFromWrist_2x_L,posFromWrist_3x_L,posFromWrist_4x_L,posFromWrist_5x_L,posFromWrist_6x_L,posFromWrist_7x_L,posFromWrist_8x_L,posFromWrist_9x_L,posFromWrist_10x_L,posFromWrist_11x_L,posFromWrist_12x_L,posFromWrist_13x_L,posFromWrist_14x_L,posFromWrist_15x_L,posFromWrist_16x_L,posFromWrist_17x_L,posFromWrist_18x_L,posFromWrist_19x_L,posFromWrist_20x_L,posFromWrist_1y_L,posFromWrist_2y_L,posFromWrist_3y_L,posFromWrist_4y_L,posFromWrist_5y_L,posFromWrist_6y_L,posFromWrist_7y_L,posFromWrist_8y_L,posFromWrist_9y_L,posFromWrist_10y_L,posFromWrist_11y_L,posFromWrist_12y_L,posFromWrist_13y_L,posFromWrist_14y_L,posFromWrist_15y_L,posFromWrist_16y_L,posFromWrist_17y_L,posFromWrist_18y_L,posFromWrist_19y_L,posFromWrist_20y_L,posFromWrist_1x_R,posFromWrist_2x_R,posFromWrist_3x_R,posFromWrist_4x_R,posFromWrist_5x_R,posFromWrist_6x_R,posFromWrist_7x_R,posFromWrist_8x_R,posFromWrist_9x_R,posFromWrist_10x_R,posFromWrist_11x_R,posFromWrist_12x_R,posFromWrist_13x_R,posFromWrist_14x_R,posFromWrist_15x_R,posFromWrist_16x_R,posFromWrist_17x_R,posFromWrist_18x_R,posFromWrist_19x_R,posFromWrist_20x_R,posFromWrist_1y_R,posFromWrist_2y_R,posFromWrist_3y_R,posFromWrist_4y_R,posFromWrist_5y_R,posFromWrist_6y_R,posFromWrist_7y_R,posFromWrist_8y_R,posFromWrist_9y_R,posFromWrist_10y_R,posFromWrist_11y_R,posFromWrist_12y_R,posFromWrist_13y_R,posFromWrist_14y_R,posFromWrist_15y_R,posFromWrist_16y_R,posFromWrist_17y_R,posFromWrist_18y_R,posFromWrist_19y_R,posFromWrist_20y_R,posFromBody_0x_L,posFromBody_0y_L,posFromBody_0x_R,posFromBody_0y_R
209,3.17585,-3.541448,-7.947235,15.304654,-26.980476,-51.818161,-70.76889,-82.730713,-62.582588,-96.458645,-114.444466,-128.157406,-55.462875,-91.834087,-112.605515,-128.831806,-45.516815,-79.299603,-99.46661,-114.526978,-34.296455,-62.574234,-77.932091,-90.909004,-15.445754,-11.21548,1.502449,11.041591,6.457982,25.263143,35.638942,43.514774,23.754766,44.840988,57.068866,66.515321,38.206277,58.192971,70.286357,78.991498,49.037916,65.253451,73.66324,79.966228,38.568478,68.089256,86.639214,97.052364,79.725895,106.768112,116.588173,123.78479,66.928711,94.171715,105.242271,111.330872,52.305565,78.517914,89.371719,96.668701,36.387463,57.042103,66.641178,74.037724,-3.01305,5.810961,20.350281,35.413182,15.459771,44.399534,61.104935,75.821972,24.245497,58.3203,79.221271,96.608026,33.22271,64.987183,84.841299,100.066851,42.24852,66.75306,80.817457,92.304639,48.139601,275.351802,-126.978464,159.562308
210,4.215889,4.467457,0.289822,17.477713,-25.192223,-51.591568,-68.808403,-79.618378,-64.063797,-96.399193,-115.139122,-130.657024,-58.676605,-92.450752,-113.977318,-131.012764,-50.033684,-81.021538,-101.471214,-117.906017,-38.41507,-62.896614,-77.492409,-90.58897,-16.598819,-16.540218,-11.611177,-10.172269,11.696331,24.419077,32.42403,39.461539,25.033308,41.908461,52.307539,61.9059,35.251396,53.067193,64.006649,73.178561,43.019845,58.812451,67.907978,75.199899,37.917423,65.550728,81.834126,89.530163,79.019279,104.714069,115.028744,122.354908,67.285595,93.505726,106.968899,115.960064,52.623482,76.400871,88.725471,98.36237,35.72319,55.416069,66.199036,76.087303,1.346468,13.919963,32.300344,47.440742,22.819432,50.478924,70.352059,86.965575,31.030323,64.685656,89.613371,110.449195,39.612642,70.913617,92.344592,109.755923,48.635242,72.851098,87.601913,100.78717,53.948364,278.038733,-125.095768,175.259494
211,1.136513,-0.381741,1.230698,20.255308,-28.885345,-57.175827,-75.510864,-85.805798,-65.457916,-95.384903,-114.975986,-130.251217,-58.84964,-89.215679,-109.277573,-125.569954,-49.239464,-75.827065,-93.686256,-108.289204,-37.959251,-59.516373,-72.990303,-85.505161,-15.223267,-12.563739,-4.614423,-0.160242,19.153928,29.429444,37.298052,43.719662,30.858472,43.24474,52.855327,61.1171,37.904688,50.706783,59.369193,66.260168,41.43817,56.047885,65.823222,73.25439,37.071533,64.68853,79.615803,86.9561,80.200081,105.078793,117.946987,127.680759,69.017887,96.238518,111.120815,122.176266,54.744473,81.154919,94.743977,104.794865,37.874622,59.844303,71.87479,82.376003,-2.759255,10.752661,29.694353,44.01699,21.155568,49.14635,66.794803,81.358761,32.984847,65.542443,85.931071,102.469436,44.556442,74.248201,93.397622,109.232095,54.9788,77.646574,90.035126,100.55505,57.089052,275.784935,-121.860895,193.642746
212,-2.37133,2.276799,3.039722,17.370823,-27.295647,-61.249237,-88.959446,-110.255756,-58.372421,-87.238712,-108.312664,-127.812023,-51.873207,-82.722588,-99.696407,-113.367577,-43.882713,-72.592278,-84.513016,-93.001785,-35.589867,-60.961761,-70.872917,-78.888931,16.220783,29.224185,35.184026,40.825482,42.594508,45.815595,50.711167,57.030149,32.824543,21.373176,12.196139,3.226644,17.344764,1.051486,-10.514551,-20.837491,-0.260648,-10.852944,-18.625036,-26.443564,40.584068,68.508453,84.272003,90.922508,80.992355,105.981903,119.592934,129.502487,68.877468,95.400925,111.192856,123.438148,54.79929,81.820107,96.710129,107.634773,39.2173,62.188454,74.82233,85.986443,-2.142616,10.421185,29.37498,44.660924,19.777916,46.529059,64.842811,79.72608,32.260453,64.980082,86.776619,104.016655,44.69291,74.341321,93.634928,108.13516,55.906229,78.212454,90.479482,99.632128,57.936001,276.902571,-115.602894,209.854406
213,-10.738106,3.43959,5.405102,11.306562,-28.453159,-58.487205,-83.311186,-102.719622,-68.453722,-89.744768,-105.340748,-117.780905,-62.531347,-76.919003,-79.803057,-79.08514,-52.36619,-62.387295,-61.773033,-58.745384,-39.844208,-51.565762,-51.852207,-49.797535,23.550311,37.712829,45.208094,53.38601,33.160867,37.08316,42.876708,50.543947,20.568105,24.500989,30.827381,35.512631,6.895329,10.789156,14.927699,18.087746,-6.227868,-1.320934,3.283825,7.542967,39.329967,65.877285,81.865025,89.113941,79.522076,104.70892,119.250469,129.952984,67.843895,93.718929,109.678745,121.771603,54.371853,80.776463,95.755062,106.794491,39.094334,62.999783,75.927773,87.573566,-1.06575,10.594518,27.161413,40.807451,21.58288,48.28135,66.140372,80.323022,34.214854,65.939004,86.717215,103.386307,46.883692,75.466846,93.855007,107.858333,57.987836,79.405534,91.663114,101.450184,49.493752,278.92536,-107.901936,219.744167
214,-10.738106,3.439591,5.00639,13.583609,-29.610672,-55.725174,-77.662926,-95.183487,-78.535023,-92.250824,-102.368832,-107.749786,-73.189487,-71.115417,-59.909706,-44.802704,-60.849667,-52.182312,-39.033051,-24.488983,-44.098549,-42.169762,-32.831497,-20.706139,30.879837,46.201473,55.232162,65.946538,23.727225,28.350726,35.042247,44.057746,8.311667,27.628802,49.458622,67.798618,-3.554107,20.526825,40.369949,57.012982,-12.195089,8.211076,25.192686,41.529499,39.961281,66.576061,82.721272,90.540619,81.223583,105.550804,119.547615,129.558105,70.104103,94.959984,109.694252,120.399628,56.729908,82.514191,96.56868,106.421242,41.193008,64.799366,77.565594,88.297691,-0.430709,11.095808,27.121213,40.039152,22.001548,47.112786,64.789335,79.724228,34.334279,65.678973,87.717942,105.989272,46.896721,75.384841,94.591195,109.572648,57.852602,77.758342,89.103127,97.732562,40.432034,281.882727,-101.219158,232.845551
215,-1.490479,-2.843792,4.064655,13.890323,-27.62867,-55.687065,-81.11372,-103.651714,-78.404045,-84.649887,-92.35817,-95.709972,-72.679024,-60.641098,-44.939003,-27.198257,-60.205994,-42.920837,-28.133583,-14.579544,-44.907875,-36.144447,-25.298767,-13.363838,33.128726,48.861742,59.457804,71.401013,31.911378,39.802093,48.852171,61.677979,16.626422,41.760939,62.470051,80.507532,3.074862,30.514151,49.206619,65.502244,-7.158787,16.349039,32.408654,47.213253,40.58321,67.929039,84.700527,92.217236,82.082462,107.240124,122.257175,133.158131,71.145802,96.990108,113.016987,124.374905,58.068066,85.191822,100.386829,111.097469,43.032475,68.268414,81.885395,93.601284,-1.871346,8.925158,23.808489,34.961725,17.594113,42.528003,60.231722,75.281224,30.664081,61.87169,84.382802,103.036367,44.42479,72.193765,91.878191,107.038658,56.858606,76.314061,87.790746,96.593885,40.478039,278.209951,-95.618019,245.90689
216,-15.571518,-4.419353,4.607735,14.380004,-26.554413,-48.887501,-67.063236,-85.722885,-61.254044,-53.608418,-42.02282,-31.507301,-50.395889,-33.245087,-18.414917,-3.861923,-36.945648,-15.143509,-0.692024,10.77507,-22.914505,-6.215057,3.703537,12.789345,30.492045,51.088277,64.868067,79.568061,35.602879,55.241301,71.222678,84.14741,22.438679,50.733459,71.862598,87.816311,10.339489,38.435432,57.994258,74.685209,0.162898,24.072904,40.902053,57.761335,39.516106,66.804028,84.138622,92.630367,82.97327,108.992443,124.105854,135.181446,73.119736,99.678097,115.792294,127.09734,60.561676,87.13583,101.988201,112.572956,45.806236,69.862404,82.620907,93.595562,-2.44544,7.104632,20.979641,31.719458,14.943414,37.630886,54.114233,67.591692,27.519689,57.698473,79.489021,96.759129,41.041979,68.014374,86.44644,99.941436,53.439486,72.407545,83.459078,91.728199,25.81584,273.034665,-90.100965,259.530961
217,-7.216301,11.067032,4.332104,13.91527,-27.53334,-48.344307,-64.425659,-82.394714,-56.459827,-48.773689,-32.580757,-17.751045,-42.936687,-26.69426,-8.994026,6.448975,-27.561035,-9.148293,6.891861,20.033569,-12.105446,1.495628,12.872543,23.516006,24.3564,43.19676,54.962189,66.927628,23.632253,48.310867,63.855237,74.340271,11.983408,42.855712,63.299174,76.078854,1.956747,32.236926,50.816081,64.690164,-7.207446,16.710402,31.399652,44.609856,37.035427,64.270992,81.436844,90.77282,82.666283,110.363617,124.827118,134.349289,73.229027,101.393967,115.944786,124.948082,60.978985,88.443031,102.282944,111.985245,47.208309,70.530052,81.612282,89.703712,-5.466332,2.935429,16.116981,26.010323,12.597331,31.254415,45.711669,57.077264,26.409972,51.89869,68.844052,82.064445,40.031557,62.992583,77.066799,87.130202,52.1347,68.269588,74.718678,77.849053,19.83058,283.230923,-84.537821,272.575458
218,-8.13087,5.034426,4.457245,13.577248,-25.819058,-43.985052,-57.798042,-73.430114,-48.952346,-37.404728,-21.653309,-8.488584,-35.39757,-14.900622,2.192974,15.66998,-20.844469,0.907531,16.02077,27.382035,-6.767714,9.334731,19.800167,29.035349,22.954149,42.327862,55.428822,67.756929,22.988235,48.718922,62.785349,71.867021,11.444652,43.111521,61.175006,71.819427,1.417272,32.260824,48.861264,60.487825,-7.635708,15.946334,28.72024,39.963771,35.04261,62.164822,77.67025,85.536575,81.285667,110.906067,124.820137,134.079895,72.9142,101.25206,113.661346,120.00618,61.44619,85.304031,95.242996,100.485878,48.138485,62.794991,64.66135,63.04224,-7.567945,0.874571,14.65751,27.09429,13.552919,29.293531,41.604711,50.925194,31.210758,52.90164,64.893755,72.43416,46.218516,63.65498,69.598642,71.915827,57.752505,65.777897,63.211303,60.287668,12.658439,287.480965,-79.121847,285.368321
