1,6,0.2188643562286839
5,11,0.3360933323325655
119,126,0.35665217652873277
136,141,0.299904280916199
143,147,0.1789059363596957
145,156,0.1645978660457465
186,193,0.16862600907769848
229,229,0.3872602008011787
237,237,0.27805137968615784
239,242,0.2012670372814182
249,251,0.1957280358166657
255,260,0.14672061811506704
274,274,0.2045702931574715
312,314,0.5923680978816688
317,327,0.2936073280062106
331,343,0.16688958006095894
394,397,0.18071052992491177
401,404,0.15592417561503663
405,408,0.20721524304080213
409,412,0.18128802971263142
414,414,0.22790718109423863
416,418,0.1676652452576301
422,425,0.2058525425467687
425,427,0.1979930026239471
427,429,0.1541107891838694
431,433,0.22886093978663652
438,441,0.38231432313809216
442,444,0.2867153057157446
447,452,0.28323053528033476
