0,27,0.1447751257626036
19,32,0.14247953921321105
34,40,0.1236512511914139
44,50,0.13058334647160325
49,64,0.1422395399573671
62,70,0.12515780648669445
66,83,0.10171371697650144
92,110,0.12153097673283386
99,122,0.1214929498109435
109,127,0.12317726688044728
122,141,0.1126248392285536
141,159,0.11581784930766315
156,168,0.10070458113763436
190,198,0.1148215993035481
200,228,0.0895447725811005
225,281,0.12046295274484242
280,303,0.10248255681460594
294,320,0.12289466377496813
313,328,0.11451537515833535
331,342,0.11758162831085707
353,368,0.14382982009703066
360,380,0.10202278179412089
390,410,0.13553952992781065
401,453,0.12670859880540453
