frame,0x_L,0y_L,1x_L,1y_L,2x_L,2y_L,3x_L,3y_L,4x_L,4y_L,5x_L,5y_L,6x_L,6y_L,7x_L,7y_L,8x_L,8y_L,9x_L,9y_L,10x_L,10y_L,11x_L,11y_L,12x_L,12y_L,13x_L,13y_L,14x_L,14y_L,15x_L,15y_L,16x_L,16y_L,17x_L,17y_L,18x_L,18y_L,19x_L,19y_L,20x_L,20y_L,0x_R,0y_R,1x_R,1y_R,2x_R,2y_R,3x_R,3y_R,4x_R,4y_R,5x_R,5y_R,6x_R,6y_R,7x_R,7y_R,8x_R,8y_R,9x_R,9y_R,10x_R,10y_R,11x_R,11y_R,12x_R,12y_R,13x_R,13y_R,14x_R,14y_R,15x_R,15y_R,16x_R,16y_R,17x_R,17y_R,18x_R,18y_R,19x_R,19y_R,20x_R,20y_R,x_Body,y_Body
1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.45971912145614624,0.7336382269859314,0.47595471143722534,0.7191928029060364,0.4912591874599457,0.7251492738723755,0.5014055967330933,0.7326330542564392,0.505525529384613,0.7384659051895142,0.48905450105667114,0.7569544315338135,0.5110549926757812,0.7847607731819153,0.5199249982833862,0.7839593887329102,0.5223970413208008,0.7781064510345459,0.48345765471458435,0.773718535900116,0.5081630349159241,0.7990118861198425,0.518739640712738,0.7956854104995728,0.521373450756073,0.7885565161705017,0.47847771644592285,0.7841095924377441,0.500751793384552,0.8066890239715576,0.5112065672874451,0.8046193718910217,0.5146363377571106,0.798504650592804,0.4745335578918457,0.788938045501709,0.4915349781513214,0.8089101910591125,0.501220166683197,0.8106709718704224,0.5062499046325684,0.8087611794471741,0.5001443028450012,0.3923969864845276
2,0.4968852400779724,0.7321256399154663,0.49414244294166565,0.7307097315788269,0.48988819122314453,0.7488970756530762,0.4872387647628784,0.7741826772689819,0.4848001301288605,0.7938122153282166,0.4782628118991852,0.750612735748291,0.49938836693763733,0.7838388681411743,0.5093034505844116,0.7907572388648987,0.5123195052146912,0.7894038558006287,0.4763956367969513,0.7570165991783142,0.5019595623016357,0.7938317656517029,0.5117964148521423,0.7982052564620972,0.5172234177589417,0.7937684655189514,0.4775236248970032,0.7624087333679199,0.5025058388710022,0.7982262372970581,0.5128362774848938,0.8000845909118652,0.5177885890007019,0.7962092161178589,0.4816926121711731,0.7660876512527466,0.4980125427246094,0.7928499579429626,0.5071628093719482,0.7934075593948364,0.512366533279419,0.7908291220664978,0.4571875333786011,0.7283958196640015,0.4729860723018646,0.7161983251571655,0.48733991384506226,0.7215543389320374,0.497594952583313,0.7278211712837219,0.5040473937988281,0.7300686836242676,0.4883725643157959,0.7563257217407227,0.5071131587028503,0.7793479561805725,0.5162776112556458,0.7841899991035461,0.5223019123077393,0.7837956547737122,0.4829689860343933,0.7722189426422119,0.5035927891731262,0.792417585849762,0.5142199993133545,0.7947978377342224,0.5200316309928894,0.7912293672561646,0.47801339626312256,0.7811451554298401,0.4963909387588501,0.8013619184494019,0.5067508816719055,0.8056247234344482,0.5126359462738037,0.8029828667640686,0.4737272262573242,0.7851447463035583,0.4871012270450592,0.8055812120437622,0.49599242210388184,0.8119008541107178,0.5030158758163452,0.8130746483802795,0.5000615119934082,0.39260120689868927
3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.4572174847126007,0.7292162179946899,0.47222334146499634,0.7175028324127197,0.4865305721759796,0.7221001982688904,0.4964049458503723,0.7298968434333801,0.5013586282730103,0.7321217060089111,0.4881821572780609,0.7553545236587524,0.5061688423156738,0.7757178544998169,0.5157475471496582,0.7827309370040894,0.5226863026618958,0.7848843932151794,0.48316556215286255,0.7713851928710938,0.5034987330436707,0.7897692918777466,0.5147920250892639,0.7931458950042725,0.5213733911514282,0.7906417846679688,0.47840192914009094,0.7814670205116272,0.49683719873428345,0.8005592823028564,0.5075898170471191,0.8056512475013733,0.5143037438392639,0.8035498857498169,0.47429928183555603,0.7868785858154297,0.48710376024246216,0.8065198659896851,0.4955884516239166,0.8131436109542847,0.5029017925262451,0.8148437142372131,0.500051960349083,0.39269644021987915
4,0.4879736006259918,0.7395590543746948,0.4931184649467468,0.7138392925262451,0.496762752532959,0.7166720628738403,0.5019564032554626,0.7336210608482361,0.5063604116439819,0.7501721978187561,0.48149919509887695,0.7348470091819763,0.5034404397010803,0.7640640139579773,0.5129003524780273,0.7719205617904663,0.515805721282959,0.7725169062614441,0.476648211479187,0.7567222118377686,0.5023455619812012,0.7879176139831543,0.5122002363204956,0.791513979434967,0.5171247720718384,0.7870535254478455,0.4753572642803192,0.7748404145240784,0.49985694885253906,0.8014323711395264,0.5106498599052429,0.8020228147506714,0.5154853463172913,0.7982506155967712,0.476572185754776,0.788388729095459,0.49327781796455383,0.8094708323478699,0.5036060810089111,0.8066830039024353,0.5100345611572266,0.8011102080345154,0.4584519863128662,0.7308861017227173,0.472636342048645,0.7179949283599854,0.4867027997970581,0.7210057377815247,0.4968463182449341,0.7270047068595886,0.5029352307319641,0.7270081043243408,0.48859962821006775,0.7565175294876099,0.5063198804855347,0.7773575782775879,0.5155684351921082,0.7843537926673889,0.5223107933998108,0.7861446738243103,0.4833694100379944,0.7724891304969788,0.5034052133560181,0.790560781955719,0.514275848865509,0.793682336807251,0.5205377340316772,0.7910364270210266,0.47854477167129517,0.782464861869812,0.4968983829021454,0.8008314371109009,0.5073275566101074,0.8056693077087402,0.5138781070709229,0.8035633563995361,0.47446414828300476,0.7876047492027283,0.4875585436820984,0.8061336874961853,0.4959058165550232,0.8128337860107422,0.5029933452606201,0.814673662185669,0.5000309199094772,0.39274540543556213
5,0.5005520582199097,0.7341081500053406,0.49489760398864746,0.7616456747055054,0.48850297927856445,0.7819691896438599,0.48187723755836487,0.7979565858840942,0.47415927052497864,0.8107330799102783,0.47973302006721497,0.7856250405311584,0.49367955327033997,0.8051736354827881,0.5042299628257751,0.8071411848068237,0.5118869543075562,0.8071205615997314,0.4802922010421753,0.7781453728675842,0.49908533692359924,0.7955749034881592,0.5106963515281677,0.797639787197113,0.5182986259460449,0.7976742386817932,0.4835030138492584,0.7687264680862427,0.5009772777557373,0.786750078201294,0.5115563273429871,0.7888889312744141,0.518821120262146,0.7902830839157104,0.4882296621799469,0.7592151761054993,0.4993647336959839,0.7793803215026855,0.5074400901794434,0.7845858335494995,0.5137362480163574,0.7891194224357605,0.4590373635292053,0.7312053442001343,0.4729011654853821,0.7182888984680176,0.4864019751548767,0.7210471034049988,0.4961574971675873,0.7270016670227051,0.5016997456550598,0.7284876704216003,0.4882756769657135,0.7562835216522217,0.506103515625,0.7773170471191406,0.5155205130577087,0.7839537262916565,0.5222078561782837,0.7854925394058228,0.48292532563209534,0.7722674012184143,0.5031217932701111,0.7907662987709045,0.5140537619590759,0.7936886548995972,0.5202361345291138,0.7907885313034058,0.47812962532043457,0.7821001410484314,0.4966164827346802,0.8007482290267944,0.5072688460350037,0.8053257465362549,0.5138301253318787,0.8030506372451782,0.474305659532547,0.7869781851768494,0.48748186230659485,0.8061009645462036,0.49590620398521423,0.812554657459259,0.5030481219291687,0.8140087127685547,0.5000224411487579,0.39278946816921234
6,0.47779276967048645,0.7454067468643188,0.4872192442417145,0.7155832052230835,0.495466411113739,0.7127395868301392,0.5018802881240845,0.7257757186889648,0.5054468512535095,0.7410783767700195,0.48288434743881226,0.7312960624694824,0.5051400065422058,0.761147141456604,0.5138201713562012,0.7698324918746948,0.515923261642456,0.7708406448364258,0.4783790707588196,0.7549718618392944,0.504107654094696,0.7867138981819153,0.5132284164428711,0.7911819219589233,0.5166022777557373,0.7876197695732117,0.4759218096733093,0.7747384905815125,0.5004798173904419,0.8017457127571106,0.5100755095481873,0.802978515625,0.5132188200950623,0.798774778842926,0.4749990999698639,0.7899349331855774,0.49133291840553284,0.8111069798469543,0.5013055801391602,0.8083662986755371,0.5069918036460876,0.803048312664032,0.45936474204063416,0.7313880324363708,0.47310128808021545,0.7179311513900757,0.4866870045661926,0.7210761904716492,0.4965798854827881,0.7269723415374756,0.5024357438087463,0.7282195091247559,0.4883575737476349,0.7554292678833008,0.5061792135238647,0.7772974967956543,0.5155609250068665,0.7844509482383728,0.5222616791725159,0.7863102555274963,0.4828163981437683,0.7715160250663757,0.5029210448265076,0.7908190488815308,0.5136809349060059,0.794475793838501,0.5198051333427429,0.791816234588623,0.47773808240890503,0.7816836833953857,0.4962521493434906,0.8005096912384033,0.5069530010223389,0.8056485652923584,0.5135678052902222,0.8036943674087524,0.47360286116600037,0.7869969010353088,0.4869702160358429,0.8061161041259766,0.4953725039958954,0.8127466440200806,0.5025308132171631,0.8143606185913086,0.5000142306089401,0.3927926570177078
7,0.48064741492271423,0.7412125468254089,0.48866796493530273,0.7165670990943909,0.4941187798976898,0.7187440395355225,0.4966655373573303,0.7335447669029236,0.4977545440196991,0.7516912221908569,0.48306623101234436,0.7349576950073242,0.504984974861145,0.7669617533683777,0.5126396417617798,0.7757436633110046,0.5137001872062683,0.7758958339691162,0.4787045121192932,0.7546572089195251,0.5041820406913757,0.7894479036331177,0.5122993588447571,0.7949610948562622,0.515364408493042,0.791452944278717,0.4759617745876312,0.7715772986412048,0.5000382661819458,0.8020051717758179,0.5089130997657776,0.8035116791725159,0.5118108987808228,0.7989198565483093,0.4747593402862549,0.7844210863113403,0.49052321910858154,0.8083279132843018,0.5002953410148621,0.8069030046463013,0.5058045983314514,0.8023099303245544,0.4597774147987366,0.7323559522628784,0.4734557271003723,0.7185307145118713,0.48686131834983826,0.7215719819068909,0.4968612790107727,0.7262586951255798,0.5039017200469971,0.7256133556365967,0.4887223243713379,0.7559630870819092,0.5065068602561951,0.7773851752281189,0.5158904194831848,0.7843547463417053,0.522558867931366,0.7859874963760376,0.4830385744571686,0.7720798254013062,0.5029981732368469,0.7913545966148376,0.5138668417930603,0.7943160533905029,0.519970178604126,0.7909451127052307,0.4779023230075836,0.7822251319885254,0.4962262511253357,0.8008479475975037,0.5069965720176697,0.8054028749465942,0.513619065284729,0.8029628992080688,0.47372737526893616,0.7873221635818481,0.48706063628196716,0.8063061237335205,0.4955614507198334,0.8127626776695251,0.5027444958686829,0.8141540288925171,0.500022292137146,0.3928109407424927
8,0.48500150442123413,0.7379199266433716,0.4881594777107239,0.7159634232521057,0.4901297390460968,0.7222605347633362,0.4918356239795685,0.7422488927841187,0.4932660758495331,0.7620999217033386,0.4795289635658264,0.7351258993148804,0.5025050640106201,0.7686699032783508,0.5109615921974182,0.7764248251914978,0.5121546387672424,0.7752516865730286,0.47661301493644714,0.7533442378044128,0.5038964748382568,0.7906431555747986,0.5118732452392578,0.794569730758667,0.5145850777626038,0.7891377806663513,0.4759669303894043,0.7696405649185181,0.5021677017211914,0.8023447394371033,0.510710597038269,0.8019657731056213,0.5129217505455017,0.7959585785865784,0.476987361907959,0.7822756171226501,0.49399542808532715,0.8074575066566467,0.5032888650894165,0.8044738173484802,0.5080640912055969,0.7983930706977844,0.4594287872314453,0.731475293636322,0.4731746017932892,0.7181552648544312,0.48654770851135254,0.7211741805076599,0.4965614080429077,0.7265164256095886,0.5027287006378174,0.7279505729675293,0.487913578748703,0.7557159662246704,0.5058006644248962,0.7766421437263489,0.5153478384017944,0.7835046052932739,0.5221579670906067,0.7851312160491943,0.48243212699890137,0.7717276811599731,0.5024222731590271,0.7909063696861267,0.5133047103881836,0.7944431304931641,0.5195494890213013,0.7916091680526733,0.4775677025318146,0.78155916929245,0.4957244098186493,0.8004140853881836,0.5065673589706421,0.8055297136306763,0.5133317112922668,0.8035117387771606,0.4736672043800354,0.7864707112312317,0.48681122064590454,0.8058599233627319,0.49525612592697144,0.8124637603759766,0.5023671388626099,0.8138254880905151,0.5000254511833191,0.3928278684616089
9,0.5030890703201294,0.7318383455276489,0.4961104989051819,0.7624281048774719,0.48830103874206543,0.7836571335792542,0.4801305830478668,0.7988823652267456,0.4711717367172241,0.8118367791175842,0.4791964888572693,0.7868548631668091,0.491091787815094,0.8086615800857544,0.5011317133903503,0.8123285174369812,0.5089733004570007,0.813658595085144,0.48056140542030334,0.7760838270187378,0.4973011314868927,0.7952250242233276,0.5089592933654785,0.7982727885246277,0.5176759362220764,0.7989470958709717,0.4839441776275635,0.7628806829452515,0.500109851360321,0.7809094190597534,0.510908842086792,0.7855057120323181,0.5191551446914673,0.788124144077301,0.4890863597393036,0.7496752738952637,0.4997251033782959,0.7679803967475891,0.5076701045036316,0.7738046050071716,0.5146179795265198,0.778450608253479,0.4592825174331665,0.7320165634155273,0.4726235568523407,0.718497097492218,0.48595017194747925,0.7212965488433838,0.49592113494873047,0.7265173196792603,0.5022580623626709,0.7275986671447754,0.4877440333366394,0.755326509475708,0.5055846571922302,0.7765474915504456,0.5150262117385864,0.784056544303894,0.5217362642288208,0.786435604095459,0.4823544919490814,0.7713232636451721,0.5024057626724243,0.7903839349746704,0.5133383870124817,0.7940183877944946,0.5196279883384705,0.7916051149368286,0.47751301527023315,0.7813883423805237,0.4959234297275543,0.8001822233200073,0.5066688656806946,0.8052058219909668,0.5133370757102966,0.8033860921859741,0.473644495010376,0.7865607738494873,0.4869357645511627,0.8058409690856934,0.49537914991378784,0.8125764727592468,0.5025048851966858,0.8141041398048401,0.5000225305557251,0.3928413391113281
10,0.5048096179962158,0.7368733882904053,0.49635758996009827,0.7665401101112366,0.48783373832702637,0.7856643199920654,0.47897085547447205,0.7987332344055176,0.46989521384239197,0.808665931224823,0.4791426956653595,0.7879557013511658,0.4913473129272461,0.8072307705879211,0.5015808343887329,0.8102754950523376,0.5088131427764893,0.8117110729217529,0.48089465498924255,0.7779049873352051,0.49738842248916626,0.7969160079956055,0.5086132287979126,0.7991958856582642,0.516204297542572,0.7987418174743652,0.4851484000682831,0.7658491134643555,0.501329243183136,0.7826904058456421,0.5118568539619446,0.7870115041732788,0.5188700556755066,0.7892369627952576,0.4908367991447449,0.7543099522590637,0.5019679665565491,0.771382749080658,0.5095950365066528,0.7763466238975525,0.5156272053718567,0.7799827456474304,0.45929425954818726,0.7318087816238403,0.47282567620277405,0.7185562252998352,0.4860488772392273,0.7212434411048889,0.49628496170043945,0.7258848547935486,0.5035158395767212,0.7256899476051331,0.48758527636528015,0.7551928162574768,0.5053714513778687,0.7760567665100098,0.5147505402565002,0.7836809158325195,0.521541178226471,0.7862955331802368,0.4820389449596405,0.7715274691581726,0.5019986033439636,0.7904830574989319,0.5128132104873657,0.7945762872695923,0.5191953182220459,0.7925023436546326,0.47712579369544983,0.7817779779434204,0.49534645676612854,0.8004621863365173,0.5060451030731201,0.8057020306587219,0.5128153562545776,0.8040770888328552,0.4731890857219696,0.7869976162910461,0.4864875078201294,0.8062105178833008,0.49495255947113037,0.81273353099823,0.5021514892578125,0.8140623569488525,0.5000212490558624,0.39284956455230713
