,0x_L,0y_L,1x_L,1y_L,2x_L,2y_L,3x_L,3y_L,4x_L,4y_L,5x_L,5y_L,6x_L,6y_L,7x_L,7y_L,8x_L,8y_L,9x_L,9y_L,10x_L,10y_L,11x_L,11y_L,12x_L,12y_L,13x_L,13y_L,14x_L,14y_L,15x_L,15y_L,16x_L,16y_L,17x_L,17y_L,18x_L,18y_L,19x_L,19y_L,20x_L,20y_L,0x_R,0y_R,1x_R,1y_R,2x_R,2y_R,3x_R,3y_R,4x_R,4y_R,5x_R,5y_R,6x_R,6y_R,7x_R,7y_R,8x_R,8y_R,9x_R,9y_R,10x_R,10y_R,11x_R,11y_R,12x_R,12y_R,13x_R,13y_R,14x_R,14y_R,15x_R,15y_R,16x_R,16y_R,17x_R,17y_R,18x_R,18y_R,19x_R,19y_R,20x_R,20y_R,x_Body,y_Body
109,1030.4651641845703,839.7580552101135,996.6573715209961,825.7262620925903,963.0311965942383,829.1126546859741,934.6065330505371,840.4571316242218,912.4752044677734,847.2010793685913,958.8971328735352,870.0507695674896,922.9745864868164,883.7857902050018,904.2529106140137,889.3623464107513,889.4653129577637,892.5878791809082,968.0836486816406,888.9025528430939,929.7566986083984,903.2258079051971,908.5631561279297,909.1319260597229,891.2208366394043,914.258198261261,978.9672088623047,900.7273244857788,945.2900505065918,918.0516495704651,924.1740989685059,924.4735071659088,907.3488235473633,928.7793016433716,991.0242462158203,906.4257760047913,969.2192459106445,925.2610719203949,954.9599647521973,933.8239398002625,942.498607635498,940.3912813663483,832.2451972961426,483.5742688179016,855.7502174377441,452.9668126106262,866.6168975830078,425.92068791389465,872.7106475830078,406.99174749851227,871.9976234436035,394.1194727420807,832.1379089355469,396.0620480775833,829.1575241088867,360.53299140930176,827.6494789123535,337.81220519542694,825.633487701416,318.54431676864624,819.0751647949219,403.71681439876556,841.2017440795898,383.8530036211014,859.5962905883789,393.45432817935944,868.9766120910645,406.35019159317017,811.7876243591309,414.9923470020294,835.3066062927246,398.99781703948975,854.0507125854492,406.9404329061508,865.1571464538574,418.86301720142365,809.1970825195312,429.6036368608475,827.7738189697266,414.590691447258,846.9528007507324,414.2189848423004,861.0264015197754,419.551997423172,966.9335746765137,422.4437229037285
110,1029.653091430664,840.2544050216675,996.1326599121094,825.9049677848816,962.7058410644531,829.4433281421661,934.5046806335449,840.6016893386841,912.5158309936523,847.4452404975891,958.9189910888672,870.3660671710968,922.946720123291,884.1685192584991,904.2169761657715,889.7452607154846,889.4491767883301,892.948748588562,968.3248901367188,889.0706374645233,929.461727142334,903.5596923828125,908.2784271240234,909.7044141292572,890.7670783996582,915.0698456764221,979.2850112915039,900.6976842880249,945.2597808837891,918.0720272064209,924.3663597106934,924.9752292633057,907.4988555908203,929.8498067855835,991.3633346557617,906.3434009552002,969.3418121337891,925.6762816905975,955.2268981933594,934.5500011444092,942.857780456543,941.5514481067657,833.0497169494629,482.95923471450806,857.2945404052734,452.48515939712524,867.8336334228516,424.5419864654541,873.4116554260254,405.1491769552231,871.1577415466309,391.5099929571152,834.4109916687012,394.62252247333527,831.4015960693359,359.91490066051483,829.5767211914062,336.49019062519073,827.4322700500488,316.14769065380096,820.0445938110352,402.0053708553314,843.4195518493652,383.37011539936066,862.067813873291,394.33763694763184,871.1585998535156,407.96811413764954,811.9420051574707,414.2959567308426,835.6856346130371,398.96579945087433,855.4455184936523,408.11884689331055,867.0742607116699,419.9308362007141,809.7188186645508,430.08331406116486,827.8084373474121,417.33231711387634,847.6968383789062,417.0291225910187,862.9319000244141,421.3312429189682,966.3200569152832,421.9747902750969
111,1029.68994140625,841.0913083553314,996.2055587768555,826.2394080162048,962.8889465332031,829.4900114536285,934.4809913635254,840.5645773410797,912.4020767211914,847.708297252655,959.3657112121582,870.8737790584564,922.8794288635254,884.7787368297577,904.0325546264648,890.0759959220886,889.2550849914551,893.1227612495422,968.7464904785156,889.5707540512085,929.3495178222656,903.7679765224457,908.2183456420898,909.5126791000366,890.8101654052734,914.6027655601501,979.6525955200195,901.1726067066193,945.186653137207,918.2986512184143,924.3042755126953,925.0252470970154,907.4502182006836,929.7981834411621,991.5607452392578,906.6636385917664,969.3327713012695,925.9376094341278,955.2863502502441,934.6817147731781,943.223819732666,941.5269949436188,835.0192451477051,483.90346026420593,860.8504486083984,452.8594903945923,872.6994895935059,425.7623598575592,879.3146896362305,405.5327705144882,876.709156036377,392.04719066619873,840.3894424438477,394.61958932876587,837.7104949951172,359.75576984882355,836.8017196655273,336.1542992591858,835.4652786254883,315.82081484794617,825.2054786682129,401.3380959033966,849.3046188354492,384.33721947669983,866.6869926452637,396.2254705429077,874.5873641967773,409.9669132232666,816.3273811340332,413.2716100215912,840.666675567627,398.7839136123657,859.7517585754395,408.52204620838165,870.9944343566895,420.2684874534607,813.3901977539062,428.9356209039688,832.3368072509766,416.66775918006897,852.6587104797363,416.4133474826813,868.5749244689941,420.2187474966049,965.7703685760498,421.73464292287827
112,1029.0852355957031,841.3351607322693,995.7182693481445,826.1108436584473,962.4296951293945,829.4578394889832,934.2305374145508,840.7003664970398,912.2994232177734,847.9314632415771,958.2551765441895,871.1997594833374,922.1256065368652,885.317138671875,903.4733963012695,890.585066318512,888.8458442687988,893.5874948501587,967.8145980834961,889.9237194061279,928.8283538818359,904.2839012145996,907.8454971313477,910.0736815929413,890.6237411499023,915.1563580036163,979.0165328979492,901.5275480747223,944.8913383483887,918.7606678009033,924.1503524780273,925.4077291488647,907.5151062011719,930.0204231739044,991.234130859375,906.9648571014404,969.0186309814453,926.2427182197571,954.9310111999512,934.9458830356598,942.8609275817871,941.7309565544128,837.8570938110352,484.95164263248444,865.1575469970703,453.45803713798523,877.4608039855957,426.4765033721924,884.6285247802734,406.6487857103348,881.4906692504883,393.9988124370575,844.4357872009277,394.4525544643402,843.2723808288574,359.99116241931915,843.068675994873,336.66713643074036,841.787166595459,316.03385376930237,829.4585037231445,401.2564618587494,858.0655288696289,384.78648459911346,875.9981918334961,398.44564485549927,882.4614715576172,413.50870072841644,821.0152816772461,413.3728498220444,849.6229934692383,399.1693596839905,868.6260223388672,410.9116019010544,877.9521560668945,423.91488015651703,818.4379577636719,429.2377965450287,840.9792709350586,417.67478489875793,861.3269805908203,419.68544006347656,875.3477096557617,425.4165884256363,965.2909183502197,421.9514177441597
113,1028.9551162719727,840.5118424892426,995.2608489990234,825.6974864006042,961.7140960693359,829.4616062641144,933.5241508483887,841.0061545372009,911.7549705505371,847.9298577308655,957.6945877075195,871.0532257556915,921.939640045166,885.1179935932159,903.4338569641113,890.4715073108673,888.7533760070801,893.7195172309875,967.2821044921875,889.7414321899414,928.7497329711914,904.0323300361633,907.8105926513672,909.972781419754,890.4759407043457,915.4638750553131,978.6125564575195,901.3234012126923,944.9190330505371,918.6802070140839,924.1759300231934,925.4524364471436,907.4759101867676,930.3462183475494,991.0418701171875,906.6575253009796,969.1534423828125,926.1374337673187,955.1160621643066,935.0478329658508,943.0086708068848,942.1234421730042,839.8923683166504,486.1897075176239,868.5538101196289,454.2077797651291,881.3374328613281,427.09091997146606,888.6163330078125,407.2163028717041,886.0643577575684,394.6972404718399,847.4382591247559,394.9385302066803,847.1308708190918,360.88814890384674,847.7962303161621,337.8810877799988,847.3148918151855,317.31520569324493,832.840518951416,401.69930493831635,864.4814872741699,385.62758696079254,882.7226257324219,400.09363985061646,888.2167053222656,415.58079755306244,824.8477363586426,413.74434030056,855.8315849304199,399.351739525795,874.6794891357422,412.11619806289673,882.6553344726562,425.6032599210739,822.7328681945801,429.678848862648,847.1268081665039,417.94765996932983,867.3446273803711,420.4252099990845,879.9496650695801,426.4695564508438,964.854326248169,421.77065885066986
114,1028.1599807739258,839.8671681880951,994.7392272949219,825.3723087310791,961.1214065551758,829.492419719696,933.0979156494141,841.3149065971375,911.301383972168,847.9768497943878,957.6240921020508,870.8596999645233,921.5639305114746,885.462931394577,902.754077911377,891.3307025432587,887.9299163818359,894.9488444328308,967.3543167114258,889.5668637752533,928.3342552185059,903.9623668193817,907.2702598571777,910.0455234050751,889.9404144287109,915.542483329773,978.6277770996094,901.1826102733612,944.3972396850586,918.5019953250885,923.4769821166992,925.4234137535095,906.7027473449707,930.3657314777374,990.8957290649414,906.5645291805267,968.7733840942383,926.0685820579529,954.8016929626465,935.0246148109436,942.6149940490723,942.1658647060394,840.5138969421387,487.03679966926575,868.3840370178223,455.4557247161865,880.7343864440918,428.68154883384705,887.8288078308105,409.8024101257324,885.8576202392578,397.3350945711136,847.6006507873535,395.7854679822922,846.9051361083984,360.8434724807739,847.221794128418,337.78207099437714,846.6800880432129,317.21581840515137,833.4823036193848,402.6226588487625,865.319881439209,386.8238776922226,883.0428314208984,400.14279317855835,888.4538269042969,414.80737364292145,825.6670188903809,414.44011306762695,856.7013359069824,400.18172681331635,875.2308654785156,411.5429689884186,883.2148933410645,424.5080237388611,823.6669921875,430.0461403131485,847.5852584838867,418.5583097934723,867.7923202514648,419.70146429538727,880.8520317077637,424.9190036058426,964.4962120056152,421.5184856057167
115,1028.306007385254,840.0453181266785,994.6349716186523,825.358229637146,961.0469055175781,829.1416773796082,933.1436347961426,840.8100352287292,911.6227340698242,848.102573633194,957.1637535095215,870.7732493877411,921.6555404663086,885.4848527908325,903.0998611450195,891.3371245861053,888.3917427062988,895.035480260849,966.8468856811523,889.5161049365997,928.4240913391113,904.0401723384857,907.5202560424805,910.1473498344421,890.1853179931641,915.7413196563721,978.2455444335938,901.2639973163605,944.5742797851562,918.5939416885376,923.829517364502,925.4881281852722,907.0261573791504,930.4096977710724,990.8076095581055,906.8327729701996,968.9189529418945,926.1936883926392,954.8828887939453,935.0583922863007,942.5146865844727,942.0312488079071,839.4810676574707,487.69691157341003,867.9157447814941,456.69879138469696,879.8233795166016,430.2274703979492,886.3689994812012,411.8352336883545,885.7558822631836,399.08979427814484,847.7078819274902,396.86881721019745,846.467342376709,361.32401418685913,846.3143348693848,338.6086620092392,845.3914833068848,318.30497217178345,833.5812950134277,403.2612507343292,863.8267707824707,387.1167598962784,881.8588829040527,399.86111867427826,888.3646774291992,414.1615260839462,825.4818534851074,414.488432765007,855.1158714294434,400.60629177093506,874.0190505981445,411.57134330272675,883.0702972412109,424.2545382976532,822.7674865722656,429.6364880800247,845.7460784912109,418.47679924964905,865.9098243713379,419.54230260849,879.5686340332031,424.54461085796356,964.2276763916016,421.23370814323425
116,1028.7476348876953,840.2442162036896,995.0020980834961,825.4461622238159,961.2784194946289,828.947595834732,933.4073638916016,840.7355024814606,911.8571090698242,848.1099836826324,957.6117897033691,870.1687746047974,922.155876159668,884.8555543422699,903.5225486755371,890.862325668335,888.5756492614746,894.6920244693756,967.053337097168,889.0030207633972,928.8102722167969,903.5024497509003,907.8628921508789,909.7983365058899,890.3639602661133,915.5351350307465,978.2427978515625,900.9753758907318,944.5985412597656,918.1469304561615,923.8674545288086,925.2247626781464,907.0368576049805,930.2287690639496,990.8163070678711,906.8716139793396,969.0940475463867,926.1546621322632,955.1345443725586,935.1992449760437,942.7826499938965,942.2169940471649,839.2585372924805,487.8599017858505,867.4788093566895,456.2272961139679,879.5009422302246,430.2397587299347,886.0720825195312,412.02357244491577,885.0309562683105,399.7574088573456,847.1002578735352,396.65377140045166,846.2372589111328,361.0124833583832,846.016902923584,338.2749319076538,844.8490905761719,318.0575382709503,833.1369781494141,403.1695513725281,865.3322410583496,387.48503935337067,882.7907180786133,400.77119624614716,888.1305885314941,415.4307440519333,825.1896286010742,414.308522939682,856.4217567443848,400.55821907520294,874.7064399719238,412.2793117761612,882.6103591918945,425.4092710018158,822.6660346984863,429.13479685783386,846.5518569946289,417.2005726099014,866.7001533508301,418.64127147197723,879.8067283630371,424.04900205135345,963.665885925293,421.08197194337845
117,1028.0361557006836,840.4738659858704,994.6942520141602,825.5897319316864,961.4372634887695,828.9905741214752,933.6587333679199,840.568097114563,912.015323638916,847.9276347160339,957.2395133972168,870.204836845398,921.3923835754395,885.1473250389099,902.7266693115234,891.3637390136719,887.9744911193848,895.259263753891,966.9438171386719,889.0994131565094,928.1928062438965,903.6177377700806,907.3182106018066,909.9412887096405,890.0256156921387,915.6956243515015,978.321533203125,901.0837478637695,944.084529876709,918.2059020996094,923.331241607666,925.304173707962,906.5816688537598,930.4052517414093,990.9104919433594,906.8846433162689,968.5195541381836,926.2786569595337,954.4805145263672,935.2785325050354,942.1741676330566,942.2931940555573,839.0105438232422,487.6687842607498,867.4099731445312,455.9097446203232,879.1951560974121,430.00269889831543,885.9366989135742,411.61422896385193,885.7024383544922,399.0203868150711,847.9369354248047,396.34505021572113,846.6274452209473,360.4560503959656,846.6141700744629,337.3313856124878,845.8313941955566,316.76849842071533,833.9923095703125,402.9627183675766,865.898609161377,386.9245926141739,883.3185195922852,400.46380269527435,888.6948394775391,415.0907154083252,825.8230590820312,414.1542395353317,856.8943977355957,400.0543974637985,875.3549766540527,411.80969989299774,883.4303855895996,424.7540991306305,823.011417388916,429.0105550289154,846.5348052978516,416.7936991453171,866.8976211547852,417.99530041217804,880.2762222290039,422.9211616516113,963.2297229766846,420.91066086292267
118,1028.1655883789062,840.6058266162872,994.8581314086914,825.6834690570831,961.8229293823242,829.2034895420074,934.1313743591309,840.8527665138245,912.703800201416,848.5129051208496,957.9521942138672,870.369833946228,921.5431594848633,885.0618624687195,902.6597785949707,891.0231854915619,887.9132080078125,894.7627904415131,967.5600814819336,889.2612609863281,928.2870483398438,903.6743628978729,907.2861671447754,909.802782535553,890.0194931030273,915.4050886631012,978.7803268432617,901.1341979503632,944.1819190979004,918.2744450569153,923.3292388916016,925.2663207054138,906.5651321411133,930.4027817249298,991.1309051513672,906.8738369941711,968.6572265625,926.1888101100922,954.6285438537598,934.9945423603058,942.4356079101562,941.8589034080505,838.5538101196289,488.0104492902756,867.5652122497559,455.6120767593384,879.7800636291504,429.7780508995056,887.1282005310059,411.6056456565857,887.0352745056152,399.03918981552124,847.7686500549316,395.94361078739166,847.2589874267578,360.3926635980606,847.3971748352051,337.7283481359482,846.5793800354004,317.4794000387192,833.7483787536621,402.5701092481613,866.513500213623,386.36636888980865,884.3362426757812,399.9276238679886,889.7633743286133,414.89833199977875,825.8602523803711,413.90847289562225,857.3701858520508,399.62486159801483,876.2016105651855,411.36410892009735,884.4188690185547,424.46927535533905,823.8076972961426,428.9094696044922,847.7988052368164,416.794193148613,868.2837867736816,417.97723841667175,881.6575241088867,422.9290348291397,962.9958343505859,420.7656400203705
